Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSAT 1 ,Canada,USA/Canada,Commercial,Communications,GEO,"2,850",4/20/96,Guiana Space Center,Wireless network for North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,USA,Military,Earth Observation,GEO,"8,000",4/24/96,Cape Canaveral,In the $1 billion range; ELINT; signals intelligence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palapa C2 ,Indonesia,Indonesia,Commercial,Communications,GEO,"3,014",5/15/96,Guiana Space Center,"30 C-band, 6 Ku-band; voice and vision communications to a large area bounded by Iran, Vlodivostok, Australia, and New Zealand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,USA,Military,Communications,Elliptical,"3,200",7/25/96,Cape Canaveral,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 3 F2 ,NR,United Kingdom,Commercial,Communications,GEO,"2,070",9/6/96,Baikonur Cosmodrome,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-1 (Americom 1, GE-1)",USA,USA,Commercial,Communications,GEO,"2,783",9/8/96,Cape Canaveral,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 2 (Malaysia East Asia Sat 2),Malaysia,Malaysia,Commercial,Communications,GEO,"1,450",11/14/96,Guiana Space Center,"Brought back from retirement 9/11, highly inclined. Digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 6 C-band, 9 Ku-band; Malaysia and neighboring countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 3 F3 ,NR,United Kingdom,Commercial,Communications,GEO,"2,074",12/18/96,Cape Canaveral,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-2 (Americom 2, GE-2)",USA,USA,Commercial,Communications,GEO,"2,648",1/30/97,Guiana Space Center,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",Japan,USA,Commercial,Communications,GEO,"3,124",2/16/97,Cape Canaveral,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
