Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Improved Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins 1, USA 184)",USA,USA,Military,Earth Observation,LEO,"4,000",6/28/06,Vandenberg AFB,Speculation on purpose - HEO indicates possible SBIRS-HEO test payload; may also carry NASA's TWINS-A science payload to map the Earth's magnetosphere., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis-1,USA,USA,Commercial,Technology Development,LEO,"1,360",7/12/06,Dombarovsky Air Base,Prototype for space hotel; inflatable spacecraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,South Korea,Government/Commercial,Earth Observation/Technology Development,LEO,800,7/28/06,Plesetsk Cosmodrome,"High-resolution, multispectral images of Earth's surface.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat Hot Bird 13B (Hot Bird 8),France,Multinational,Commercial,Communications,LEO,"4,900",8/4/06,Baikonur Cosmodrome,64 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,France,Military,Communications,GEO,"3,750",8/11/06,Guiana Space Center,Completes Syracuse III system; voice communication and secure data transmission; can be integrated with NATO and German military satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Japan,Commercial,Communications,LEO,"4,400",8/11/06,Guiana Space Center,"30 Ku-band, 12 C-band transponders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koreasat 5 (Mugungwha 5),South Korea,South Korea,Military/Commercial,Communications,LEO,"4,450",8/22/06,Sea Launch Odyssey,"24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongxing 22A (Chinastar 22A),China,China,Military,Communications,LEO,"2,300",9/12/06,Xichang Satellite Launch Center,"Voice and video transmissions, especially during Beijing Olympics in 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,060",9/25/06,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optus D1 ,Australia,Australia,Commercial,Communications,GEO,"2,300",10/13/06,Guiana Space Center,24 Ku-band transponders; voice and video for Australia and New Zealand; will replace Optus B1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirecTV-9S,USA,USA,Commercial,Communications,GEO,"5,500",10/13/06,Guiana Space Center,"52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetOp-A (Meteorological Operational satellite),EUMETSAT,Multinational,Government/Civil,Earth Observation,GEO,"4,193",10/19/06,Baikonur Cosmodrome,First polar-orbiting European meteorological satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinode (Solar B),Japan,Multinational,Government,Space Science,Elliptical,700,10/22/06,Uchinoura Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XM Radio 4 (Blues),USA,USA,Commercial,Communications,LEO,"5,193",10/30/06,Sea Launch Odyssey,S-band Digital Audio Radio Service (DARS) to homes and automobiles in Noth America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,USA,Military,Earth Observation,LEO,"1,154",11/4/06,Vandenberg AFB,Near-polar orbits; investigate Earth's environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 4 (Arabsat 4B),NR,Multinational,Government,Communications,GEO,"3,304",11/8/06,Baikonur Cosmodrome,28 Ku-band transponders; voice and video communications to West Asia region.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,060",11/17/06,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengyun 2D (FY-2D),China,China,Government,Earth Observation,GEO,"1,390",12/8/06,Xichang Satellite Launch Center,Meteorological; better weather forecasting for the Beijing Olympics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18 (Americom 18),USA,USA,Commercial,Communications,GEO,"2,081",12/8/06,Guiana Space Center,All c-band transponders for North American coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WildBlue 1,USA,USA,Commercial,Communications,GEO,"4,735",12/8/06,Guiana Space Center,Totally dedicated to broadband internet services; total CONUS coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 3 (Malaysia East Asia Sat 3),Malaysia,Malaysia,Commercial,Communications,MEO,"4,900",12/11/06,Baikonur Cosmodrome,"24 C-band, 24 Ku-band",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR-Lupe 1,Germany,Germany,Military,Earth Observation,GEO,770,12/19/06,Plesetsk Cosmodrome,First of five Germany surveillance satellites; 1-m resolution images.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 715 (Glonass 35-1, Cosmos 2424)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,480",12/25/06,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,480",12/25/06,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,480",12/25/06,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPAN-Tubsat (LAPAN A1),NR,Indonesia,Government,Earth Observation/Technology Development,LEO,60,1/10/07,Satish Dhawan Space Centre,Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,India,Government,Earth Observation,LEO,680,1/10/07,Satish Dhawan Space Centre,"Remote sensing and mapping; panchromatic images at one-meter resolution to be used for civil planning ""and other cartographic needs.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,Government/Civil,Space Science,GEO,126,2/17/07,Cape Canaveral,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,Government/Civil,Space Science,LEO,126,2/17/07,Cape Canaveral,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,Government/Civil,Space Science,GEO,126,2/17/07,Cape Canaveral,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falconsat-3,USA,USA,Military/Civil,Technology Development,MEO,46,3/9/07,Cape Canaveral,Air Force Academy’s first attempt at achieving three axis attitude determination and control (ADCS). FalconSAT-3 will carry three payloads to conduct DoD research. When primary mission completed amateur radio payload will be activated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFESat (Cibola Flight Experiment Satellite),USA,USA,Government,Technology Development,GEO,159,3/9/07,Cape Canaveral,"A number of experiments, including a prototype supercomputer designed to process data onboard rather than sending raw information directly to Earth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 4B (Indian National Satellite),India,India,Government,Communications,GEO,"3,028",3/11/07,Guiana Space Center,"Television and telecommunications services; 12 Ku-band and 12 C-band transponders, Indian sub-continent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 5A,United Kingdom,United Kingdom,Military,Communications,GEO,"4,700",3/11/07,Guiana Space Center,New generation of Skynet communications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anik F3,Canada,Canada,Commercial,Communications,GEO,"4,715",4/9/07,Baikonur Cosmodrome,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou M1 (Compass M1),China,China,Military/Government,Navigation/Global Positioning,LEO,"2,200",4/14/07,Xichang Satellite Launch Center,Part of Beidou constellation; first one in MEO orbit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudicomsat-3,Saudi Arabia,Saudi Arabia,Commercial,Communications,MEO,12,4/17/07,Baikonur Cosmodrome,Communications services; part of planned 24-satellite constellation. First commercial satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudicomsat-4,Saudi Arabia,Saudi Arabia,Commercial,Communications,MEO,12,4/17/07,Baikonur Cosmodrome,Communications services; part of planned 24-satellite constellation. First commercial satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudicomsat-5,Saudi Arabia,Saudi Arabia,Commercial,Communications,MEO,12,4/17/07,Baikonur Cosmodrome,Communications services; part of planned 24-satellite constellation. First commercial satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudicomsat-6,Saudi Arabia,Saudi Arabia,Commercial,Communications,LEO,12,4/17/07,Baikonur Cosmodrome,Communications services; part of planned 24-satellite constellation. First commercial satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudicomsat-7,Saudi Arabia,Saudi Arabia,Commercial,Communications,LEO,12,4/17/07,Baikonur Cosmodrome,Communications services; part of planned 24-satellite constellation. First commercial satellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudisat-3 ,Saudi Arabia,Saudi Arabia,Government,Earth Observation,Elliptical,200,4/17/07,Baikonur Cosmodrome,Carries a high resolution imager; telecommunications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM (Aeronomy of Ice in Mesosphere),USA,USA,Government,Earth Observation,Elliptical,215,4/25/07,Vandenberg AFB,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy-17,USA,USA,Commercial,Communications,Elliptical,"4,100",5/4/07,Guiana Space Center,"24 C-band, 24 Ku-band transponders; service to North America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1L,Luxembourg,Luxembourg,Commercial,Communications,LEO,"4,500",5/4/07,Guiana Space Center,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M065 (Globalstar 65),USA,USA,Commercial,Communications,LEO,450,5/29/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M069 (Globalstar 69),USA,USA,Commercial,Communications,GEO,450,5/29/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M071 (Globalstar 71),USA,USA,Commercial,Communications,GEO,450,5/29/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M072 (Globalstar 72),USA,USA,Commercial,Communications,GEO,450,5/29/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Military/Civil,Earth Observation,MEO,"1,700",6/8/07,Vandenberg AFB,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofeq 7,NR,Israel,Military,Earth Observation,LEO,300,6/10/07,Palmachim Launch Complex ,Reconnaissance satellite Mideast area; especially Syria and Iran.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,Germany,Government/Commercial,Earth Observation,LEO,"1,230",6/15/07,Baikonur Cosmodrome,"X-band radar system; monitor vegetation and crops across the globe, and special emphasis will be placed on keeping tabs on environmental changes. Commercial sale to business and military clients as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",USA,USA,Military,Earth Observation,LEO,"5,000+",6/15/07,Cape Canaveral,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30, Intruder)",USA,USA,Military,Earth Observation,LEO,"5,000+",6/15/07,Cape Canaveral,"ELINT system; wide area ocean surveillance, primarily for the Navy and surveillance of shipping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis-2,USA,USA,Commercial,Technology Development,LEO,"1,360",6/28/07,Dombarovsky Air Base,Second prototype for space hotel; inflatable spacecraft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tselina-2 (Cosmos 2428),Russia,Russia,Military,Earth Observation,LEO,"3,200",6/29/07,Baikonur Cosmodrome,ELINT; likely the last satellite of this class; to be replaced by Liana system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR-Lupe 2,Germany,Germany,Military,Earth Observation,LEO,770,7/2/07,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSat 6B (Zhong Xing 6B),China,China,Commercial/Government,Communications,GEO,"4,600",7/6/07,Xichang Satellite Launch Center,38 C-band; voice and video services to Asia-Pacific and Oceania.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirecTV-10,USA,USA,Commercial,Communications,GEO,"5,900",7/7/07,Baikonur Cosmodrome,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3A,Japan,Japan,Commercial,Communications,LEO,"1,980",8/14/07,Guiana Space Center,Twelve 130W Ku-band transponders; HD TV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceway 3,USA,USA,Commercial,Communications,LEO,"6,100",8/14/07,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSAT 4CR (Indian National Satellite),India,India,Government,Communications,LEO,"2,130",9/2/07,Satish Dhawan Space Centre,"12 high-power Ku-band transponders designed to provide Direct-to-home (DTH) television services, Video Picture Transmission (VPT) and Digital Satellite News Gathering (DSNG).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldview 1,USA,USA,Commercial,Earth Observation,LEO,"4,500",9/18/07,Vandenberg AFB,Provides earth imaging in eight color bands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optus D2,Australia,Australia,Commercial,Communications,LEO,"2,400",10/5/07,Guiana Space Center,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 11 (PAS 11),USA,USA,Commercial,Communications,LEO,"2,491",10/5/07,Guiana Space Center,"25 C-band, 18 Ku-band transponders, services to Latin America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wideband Global Satcom 1 (WGS-1, USA 195)",USA,USA,Military,Communications,LEO,"5,900",10/11/07,Cape Canaveral,First of five; will provide services to the US Department of Defense and the Ministry of Defense for Canada as well as other Government and Allied users under unstressed conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",USA,USA,Military/Commercial,Navigation/Global Positioning,LEO,"2,217",10/17/07,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M066 (Globalstar 66),USA,USA,Commercial,Communications,LEO,450,10/20/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M067 (Globalstar 67),USA,USA,Commercial,Communications,LEO,450,10/20/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M068 (Globalstar 68),USA,USA,Commercial,Communications,LEO,450,10/20/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M070 (Globalstar 70),USA,USA,Commercial,Communications,LEO,450,10/20/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,480",10/26/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 720 (Glonass 36-3, Cosmos 2433)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,480",10/26/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR-Lupe 3,Germany,Germany,Military,Earth Observation,GEO,770,11/1/07,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C1,Brazil,Brazil,Commercial,Communications,GEO,"4,100",11/14/07,Guiana Space Center,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 5B,United Kingdom,United Kingdom,Military,Communications,GEO,"4,635",11/14/07,Guiana Space Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius 4 (Astra 4A),Sweden,Sweden,Commercial,Communications,LEO,"4,400",11/17/07,Baikonur Cosmodrome,52 Ku-band and 2 Ka-band transponders; service to Europe and sub-Saharan Africa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Military/Government,Earth Observation,GEO,"1,700",12/9/07,Vandenberg AFB,Earth imaging; synthetic aperture radar (SAR) operating in X-band.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radarsat-2 ,Canada,Canada,Commercial,Earth Observation,GEO,"2,924",12/14/07,Baikonur Cosmodrome,Use of radar sensors to provide remote sensing through all weather and darkness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,060",12/20/07,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizons 2,USA,USA/Japan,Commercial,Communications,MEO,"2,300",12/21/07,Guiana Space Center,"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 721 (Glonass 37-1, Cosmos 2435)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,480",12/25/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 723 (Glonass 37-3, Cosmos 2436)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,480",12/25/07,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thuraya 3,United Arab Emirates,United Arab Emirates,Commercial,Communications,LEO,"5,180",1/15/08,Sea Launch Odyssey,"Mobile phone communication in eastern Asia, Middle East, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TecSAR (Ofeq 8, Polaris)",NR,Israel,Military,Earth Observation,LEO,300,1/21/08,Satish Dhawan Space Centre,Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Express-AM33,Russia,Russia,Commercial,Communications,MEO,"2,600",1/28/08,Baikonur Cosmodrome,"10 C-band, 16 Ku-band; 1 L-band; Russian Federation and Asian Pacific region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-5 (Thor 2R),Norway,Norway,Commercial,Communications,MEO,"2,024",2/11/08,Baikonur Cosmodrome,"25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan,Government,Technology Development,LEO,"4,850",2/23/08,Tanegashima Space Center,"Technology demonstration; carries ultra-fast, 1.2 Gbps direct-to-home downlink in Ka-band.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Improved Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins 2, USA 200)",USA,USA,Military,Earth Observation,GEO,"4,200",3/13/08,Vandenberg AFB,Reported to be carrying signals intelligence and early warning payloads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,217",3/15/08,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirecTV-11,USA,USA,Commercial,Communications,GEO,"5,900",3/19/08,Sea Launch Odyssey,High definition channels for North America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR-Lupe 4,Germany,Germany,Military,Earth Observation,LEO,770,3/27/08,Plesetsk Cosmodrome,"Synthetic Aperture Radar, 4th in a five-satellite fleet. Will be shared with the French military.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Echostar G1 (ICO G1, DBSD G1)",USA,USA,Commercial,Communications,Elliptical,"6,600",4/14/08,Cape Canaveral,"CONUS, Puerto Rico, Virgin Islands. Purchased by Dish Network in 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinasat 1,NR,Vietnam,Government,Communications,LEO,"2,600",4/18/08,Guiana Space Center,"Provide voice, video and internet service; Asia, India, Australia, Japan, Hawaii. 12 Ku-band, 8 C-band transponders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C2,Brazil,Brazil,Commercial,Communications,MEO,"4,100",4/18/08,Guiana Space Center,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TianLian 1 (TL-1-01, CTDRS)",China,China,Government,Communications,GEO,"3,750",4/25/08,Xichang Satellite Launch Center,"China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEEDS 2,Japan,Japan,Civil,Technology Development,MEO,3,4/28/08,Satish Dhawan Space Centre,Will download telemetry in Morse code and 1200-baud FM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delfi-C3 (DO-64),NR,Netherlands,Civil,Technology Development,MEO,7,4/28/08,Satish Dhawan Space Centre,Flight test thin film solar cells and an advanced transceiver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-X2 (Canadian Advanced Nanospace experiment),Canada,Canada,Civil,Technology Development,GEO,7,4/28/08,Satish Dhawan Space Centre,Will downlink telemetry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2A,India,India,Military,Earth Observation,LEO,680,4/28/08,Satish Dhawan Space Centre,Military version of CartoSat 2; dedicated satellite for the Indian armed forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy-18,USA,USA,Commercial,Communications,GEO,"4,642",5/21/08,Sea Launch Odyssey,"Advanced cable television and data, North America; 24 Ku-band, 24 C-band transponders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yubileiny (Jubilejnyj, Radio Sputnik 30 (RS-30))",Russia,Russia,Civil,Technology Development,GEO,45,5/23/08,Plesetsk Cosmodrome,"Commemorates Sputnik flight of 1957; will broadcast audio and video about the history of the Soviet and Russian space programs, as well as signals imitating those broadcast by Sputnik in 1957.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2437, Strela 3M)",Russia,Russia,Military,Communications,GEO,280,5/23/08,Plesetsk Cosmodrome,Rodnik communications satellite. Believed to replace the Strela system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2438, Strela 3M)",Russia,Russia,Military,Communications,Elliptical,280,5/23/08,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2439, Strela 3M)",Russia,Russia,Military,Communications,MEO,280,5/23/08,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengyun 3A (FY-3A),China,China,Government,Earth Observation,GEO,"2,300",5/27/08,Taiyuan Launch Center,Meteorological; better weather forecasting for the Beijing Olympics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,USA,Government,Space Science,LEO,"4,303",6/11/08,Cape Canaveral,"Will study the cosmos in the photon energy range of 8,000 electronvolts (8 keV) to greater than 300 billion electronvolts (300 GeV).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turksat 3A,Turkey,Turkey,Commercial,Communications,GEO,"3,100",6/12/08,Guiana Space Center,24 Ku-band transponders; television service to Turkey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 5C,United Kingdom,United Kingdom,Military,Communications,GEO,"4,600",6/12/08,Guiana Space Center,24 super-high-frequency and UHF channels; provide secure communications services to British and NATO forces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason 2 ,France,USA/France,Government,Earth Observation,GEO,553,6/20/08,Vandenberg AFB,Monitor sea surface level and wave heights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr 6 (Arabsat 4AR),NR,Multinational,Government,Communications,GEO,"3,400",7/7/08,Guiana Space Center,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 25 (IS-25, Protostar 1, Chinasat 8)",NR,USA,Commercial,Communications,GEO,"4,100",7/7/08,Guiana Space Center,"First satellite of fleet; provides service in Asia. Purchased at auction by Intelsat in October, 2009 for $210 million.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echostar 11,USA,USA,Commercial,Communications,LEO,"5,500",7/16/08,Sea Launch Odyssey,Direct-to-home television.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR-Lupe 5,Germany,Germany,Military,Earth Observation,LEO,770,7/22/08,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21 (Americom 21),United Kingdom,USA,Commercial,Communications,LEO,"2,500",8/14/08,Guiana Space Center,"Television services to the US, Canada, Mexico and Caribbean.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
